# 日本語の表記<TAB>かな読み（ひらがな）
# 行頭 # はコメントとして無視されます
人工知能	じんこうちのう
機械学習	きかいがくしゅう
深層学習	しんそうがくしゅう
強化学習	きょうかがくしゅう
教師あり学習	きょうしありがくしゅう
教師なし学習	きょうしなしがくしゅう
半教師あり学習	はんきょうしありがくしゅう
自然言語処理	しぜんげんごしょり
画像認識	がぞうにんしき
物体検出	ぶったいけんしゅつ
物体追跡	ぶったいついせき
分類	ぶんるい
回帰	かいき
クラスタリング	くらすたりんぐ
畳み込み	たたみこみ
プーリング	ぷーりんぐ
ニューラルネットワーク	にゅーらるねっとわーく
トランスフォーマー	とらんすふぉーまー
注意機構	ちゅういきこう
埋め込み	うめこみ
事前学習	じぜんがくしゅう
微調整	びちょうせい
生成モデル	せいせいもでる
拡散モデル	かくさんもでる
言語モデル	げんごもでる
損失関数	そんしつかんすう
最適化	さいてきか
勾配降下法	こうばいこうかほう
学習率	がくしゅうりつ
正則化	せいそくか
バッチ正規化	ばっちせいきか
ドロップアウト	どろっぷあうと
活性化関数	かっせいかかんすう
シグモイド	しぐもいど
ソフトマックス	そふとまっくす
ReLU	れる
交差検証	こうさけんしょう
ハイパーパラメータ	はいぱーぱらめーた
グリッドサーチ	ぐりっどさーち
ランダムサーチ	らんだむさーち
早期終了	そうきしゅうりょう
正解率	せいかいりつ
再現率	さいげんりつ
適合率	てきごうりつ
F値	えふち
混同行列	こんどうぎょうれつ
特徴量抽出	とくちょうりょうちゅうしゅつ
次元削減	じげんさくげん
主成分分析	しゅせいぶんぶんせき
ベイズ最適化	べいずさいてきか
